GeoglowsID,Order,StationID,AssignedID,AssignmentReason
9001467,3,,,
9001474,2,,28027050.0,Propagation-2
9001489,2,,,
9001490,3,,28027050.0,Propagation-3
9001494,3,,28047050.0,Propagation-3
9001498,1,,,
9001503,2,,,
9001504,4,,,
9001505,1,,,
9001518,1,,,
9001519,1,,,
9001524,1,,,
9001525,2,,,
9001526,1,,,
9001529,1,,,
9001530,1,,,
9001539,6,,29017010.0,Propagation-1
9001541,1,,,
9001556,2,,28027050.0,Propagation-2
9001557,1,,,
9001569,2,28027050.0,28027050.0,spatial
9001579,1,,,
9001595,1,,,
9001602,2,,,
9001610,2,,,
9001618,3,,28047050.0,Propagation-4
9001619,2,,,
9001627,1,,,
9001631,1,,,
9001632,2,,,
9001643,3,,,
9001653,1,,,
9001662,1,,,
9001663,1,,,
9001672,1,,,
9001681,1,,,
9001694,2,,,
9001696,3,,,
9001697,4,,,
9001706,2,,,
9001729,2,,,
9001731,1,,,
9001737,1,,,
9001738,2,,,
9001741,2,,,
9001742,4,,,
9001748,2,,,
9001754,2,,,
9001755,2,,,
9001765,1,,,
9001766,2,,,
9001769,1,,,
9001771,1,,,
9001774,1,,,
9001784,2,,,
9001787,1,,,
9001789,2,,,
9001791,4,,,
9001804,2,,,
9001805,1,,,
9001811,1,,,
9001826,1,,,
9001829,1,,,
9001831,4,,,
9001835,1,,,
9001837,1,,,
9001850,6,,25027680.0,Propagation-3
9001858,1,,,
9001859,1,,,
9001877,6,,25027680.0,Propagation-2
9001890,4,,,
9001893,4,,,
9001902,4,,,
9001903,1,,,
9001905,1,,,
9001915,3,,,
9001924,3,,,
9001926,4,,,
9001928,1,,,
9001936,1,,,
9001937,2,,,
9001941,3,,,
9001942,2,,,
9001947,1,,,
9001948,3,,,
9001957,1,,,
9001958,2,,,
9001959,4,,,
9001960,2,,,
9001961,2,,,
9001962,1,,,
9001967,3,,,
9001970,1,,,
9001997,4,,,
9001998,2,,,
9002013,1,,,
9002022,1,,,
9002033,1,,,
9002049,1,,,
9002054,1,,,
9002055,2,,,
9002056,1,,,
9002110,2,,,
9002113,4,,,
9002114,1,,,
9002119,4,,,
9002126,1,,,
9002131,2,,,
9002136,1,,,
9002137,2,,,
9002152,4,,,
9002156,1,,,
9002157,1,,,
9002167,3,,,
9002175,1,,,
9002176,1,,,
9002182,2,,,
9002184,1,,,
9002185,6,25027680.0,25027680.0,spatial
9002186,1,,,
9002187,4,,,
9002198,2,,,
9002203,2,,,
9002205,1,,,
9002206,3,,,
9002207,2,,,
9002220,2,,,
9002222,1,,,
9002230,1,,,
9002231,1,,,
9002233,1,,,
9002234,1,,,
9002238,6,,,
9002244,2,,,
9002250,1,25027690.0,25027690.0,spatial
9002255,2,,,
9002256,1,,,
9002268,1,,,
9002284,1,,,
9002285,4,,,
9002292,2,,,
9002293,1,,,
9002296,1,,,
9002301,1,,,
9002304,2,,,
9002305,2,,,
9002307,1,,,
9002321,6,,25027930.0,Propagation-4
9002322,2,,25027690.0,Propagation-2
9002323,1,,,
9002324,2,,,
9002358,1,,,
9002359,4,,,
9002362,1,,,
9002363,2,,,
9002367,1,,,
9002368,1,,,
9002375,4,,,
9002376,2,,,
9002378,2,,,
9002399,1,,,
9002405,4,,,
9002407,6,,25027680.0,Propagation-1
9002415,6,,25027930.0,Propagation-2
9002416,1,,,
9002424,1,,,
9002437,1,,,
9002440,2,,,
9002444,2,,,
9002459,1,,,
9002460,1,,,
9002476,1,,,
9002477,2,,,
9002484,1,,,
9002495,2,,,
9002496,4,,,
9002504,1,,,
9002516,1,,,
9002518,4,,,
9002521,4,,,
9002527,2,,,
9002528,1,,,
9002529,1,,,
9002565,5,25027020.0,25027020.0,spatial
9002567,2,,,
9002573,1,,,
9002574,2,,,
9002597,1,,,
9002605,6,25027930.0,25027930.0,spatial
9002605,6,25027530.0,25027530.0,spatial
9002606,1,,,
9002607,5,25027490.0,25027490.0,spatial
9002614,1,,,
9002617,2,,,
9002618,1,,,
9002623,4,,,
9002630,1,,,
9002631,2,,,
9002636,2,,,
9002637,4,,,
9002639,1,,,
9002650,1,,,
9002654,6,,25027930.0,Propagation-2
9002660,1,,,
9002663,5,,25027360.0,Propagation-3
9002664,5,,25027360.0,Propagation-2
9002666,1,,,
9002669,5,25027360.0,25027360.0,spatial
9002670,2,,,
9002677,1,,,
9002684,5,,,
9002685,1,,,
9002686,2,,,
9002690,1,,,
9002704,4,,,
9002709,4,,,
9002715,2,,,
9002717,1,,,
9002718,2,,,
9002720,5,,25027490.0,Propagation-2
9002745,1,,,
9002748,1,,,
9002753,2,,,
9002764,5,,25027490.0,Propagation-4
9002765,1,,,
9002766,5,25027330.0,25027330.0,spatial
9002767,1,,,
9002771,1,,,
9002776,2,,,
9002779,5,,,
9002785,1,,,
9002794,5,,25027490.0,Propagation-3
9002807,1,,,
9002808,2,,,
9002810,1,,,
9002814,4,,,
9002816,2,,,
9002817,2,,,
9002832,1,,,
9002834,1,,,
9002847,2,,,
9002854,5,,25027410.0,Propagation-4
9002858,1,,,
9002863,1,,,
9002868,1,,,
9002869,1,,,
9002870,1,,,
9002871,5,,25027410.0,Propagation-3
9002872,2,,,
9002874,1,,,
9002882,4,,,
9002886,1,,,
9002894,2,,,
9002895,1,,,
9002913,1,,,
9002926,2,,,
9002932,1,,,
9002933,5,,25027410.0,Propagation-2
9002939,2,,,
9002948,2,,,
9002950,1,,,
