,COMID,sim_fdc_cluster,sim_ma_cluster
863,9010388,1,5
864,9010408,3,4
865,9010427,0,12
866,9010476,9,7
867,9010485,10,13
868,9010517,9,7
869,9010530,0,3
870,9010560,12,2
871,9010561,6,0
872,9010590,3,4
873,9010594,6,0
874,9010597,14,7
875,9010827,3,4
876,9010831,14,3
877,9010836,1,15
878,9010837,2,1
879,9010857,12,2
880,9010859,1,11
881,9010872,11,7
882,9010884,12,2
883,9010888,3,4
884,9010891,4,5
885,9010899,14,14
886,9010901,6,0
887,9010962,4,0
888,9010981,0,6
889,9011010,14,0
890,9011017,9,9
891,9011057,5,6
892,9011100,2,5
893,9011101,8,7
894,9011135,4,3
895,9011157,14,7
896,9011162,4,9
897,9011163,3,4
898,9011229,4,3
899,9011270,14,9
900,9011276,11,10
901,9011280,7,15
902,9011303,13,8
903,9011363,12,2
904,9011368,14,6
905,9011402,3,4
906,9011403,8,15
907,9011419,7,5
908,9011424,4,9
909,9011430,12,2
910,9011431,4,6
911,9011438,4,14
912,9011455,1,15
913,9011551,2,6
914,9011632,12,2
915,9011651,3,9
916,9011653,4,3
917,9011695,0,3
918,9011702,6,6
919,9011707,0,6
920,9011716,8,11
921,9011722,0,6
922,9011730,4,1
923,9011741,1,15
924,9011753,14,3
925,9011754,14,7
926,9011767,0,3
927,9011782,6,3
928,9011791,11,1
929,9011798,6,3
930,9011804,0,3
931,9011821,11,7
932,9011822,14,6
933,9011829,2,11
934,9011876,3,9
935,9011904,5,11
936,9011922,2,1
937,9011932,3,9
938,9011952,0,12
939,9012015,6,6
940,9012072,3,9
941,9012073,12,4
942,9012074,10,9
943,9012098,3,9
944,9012153,11,14
945,9012155,9,15
946,9012165,3,4
947,9012173,0,6
948,9012217,4,9
949,9012223,4,14
950,9012334,5,5
951,9012377,6,0
952,9012385,11,0
953,9012389,0,12
954,9012394,10,2
955,9012428,12,2
956,9012434,0,12
957,9012472,12,2
958,9012486,12,9
959,9012534,3,9
960,9012562,14,3
961,9012566,3,4
962,9012596,12,2
963,9012627,11,3
964,9012628,8,1
965,9012650,12,4
966,9012659,7,1
967,9012669,4,14
968,9012676,5,5
969,9012721,0,4
970,9012723,12,2
971,9012730,10,13
972,9012759,3,4
973,9012778,0,6
974,9012801,0,10
975,9012877,11,7
976,9012910,13,7
977,9012991,1,6
978,9012999,4,7
979,9013009,3,4
980,9013014,5,15
981,9013033,5,13
982,9013041,1,5
983,9013089,0,6
984,9013096,0,6
985,9013099,0,6
986,9013127,8,11
987,9013184,2,11
988,9013209,2,11
989,9013211,11,7
990,9013257,6,0
991,9013261,11,7
992,9013292,13,8
993,9013322,10,12
994,9013330,5,11
995,9013331,7,5
996,9013379,0,3
997,9013393,1,13
998,9013437,9,13
999,9013510,6,7
1000,9013525,7,5
1001,9013561,14,5
1002,9013564,8,1
1003,9013611,9,13
1004,9013728,1,15
1005,9013762,9,8
1006,9013767,11,12
1007,9013769,5,13
1008,9013780,3,4
1009,9013781,9,7
1010,9013789,15,8
1011,9013806,4,13
1012,9013818,15,4
1013,9013823,5,15
1014,9013824,15,2
1015,9013858,12,4
1016,9013866,5,5
1017,9013878,13,8
1018,9013887,9,13
1019,9013901,9,13
1020,9013908,3,9
1021,9013978,5,12
1022,9013995,5,1
1023,9014004,13,8
1024,9014018,12,4
1025,9014027,3,4
1026,9014068,2,5
1027,9014106,0,6
1028,9014125,8,2
1029,9014126,9,8
1030,9014173,12,2
1031,9014198,3,4
1032,9014230,0,4
1033,9014236,6,3
1034,9014239,8,7
1035,9014248,8,11
1036,9014252,8,15
1037,9014265,9,9
1038,9014276,15,2
1039,9014279,3,9
1040,9014305,8,15
1041,9014317,4,9
1042,9014324,9,9
1043,9014339,10,9
1044,9014346,1,15
1045,9014347,11,10
1046,9014356,11,3
1047,9014384,13,8
1048,9014398,10,9
1049,9014399,4,9
1050,9014410,14,13
1051,9014446,12,2
1052,9014448,0,3
1053,9014485,12,9
1054,9014498,4,5
1055,9014503,11,3
1056,9014527,12,2
1057,9014572,7,1
1058,9014581,10,5
1059,9014637,5,0
1060,9014716,7,5
1061,9014733,9,7
1062,9014797,8,13
1063,9014798,3,4
1064,9014888,14,5
1065,9014914,1,15
1066,9014932,3,4
1067,9014949,0,12
1068,9014950,3,9
1069,9014985,4,9
1070,9014991,5,8
1071,9015016,14,6
1072,9015065,0,12
1073,9015168,9,10
1074,9015203,10,13
1075,9015218,12,2
1076,9015224,9,13
1077,9015284,0,5
1078,9015299,10,3
1079,9015323,5,11
1080,9015339,3,9
1081,9015503,6,7
1082,9015504,12,9
1083,9015592,3,9
1084,9015670,0,4
1085,9015688,12,2
1086,9015731,0,11
1087,9015740,11,5
1088,9015770,10,7
1089,9015773,5,0
1090,9015823,0,5
1091,9015841,2,0
1092,9015920,11,14
1093,9015925,4,0
1094,9015967,0,12
1095,9015968,11,7
1096,9016018,12,9
1097,9016035,3,9
1098,9016063,5,7
1099,9016078,4,2
1100,9016113,12,4
1101,9016128,11,4
1102,9016137,10,7
1103,9016148,8,1
1104,9016215,14,3
1105,9016253,2,11
1106,9016257,11,3
1107,9016268,8,5
1108,9016272,11,13
1109,9016287,0,5
1110,9016291,11,14
1111,9016295,5,5
1112,9016355,14,3
1113,9016429,3,9
1114,9016449,3,9
1115,9016476,11,7
1116,9016495,0,6
1117,9016523,6,6
1118,9016557,8,15
1119,9016560,2,11
1120,9016565,8,9
1121,9016570,4,0
1122,9016588,4,7
1123,9016657,3,4
1124,9016674,5,8
1125,9016870,12,9
1126,9016885,0,7
1127,9016886,9,9
1128,9016967,10,7
1129,9017021,15,3
1130,9017041,14,4
1131,9017057,4,7
1132,9017138,0,11
1133,9017195,15,9
1134,9017240,2,6
1135,9017248,4,14
1136,9017296,1,15
1137,9017341,12,2
1138,9017549,14,3
1139,9017664,8,11
1140,9017684,0,6
1141,9017689,8,15
1142,9017698,2,11
1143,9017785,1,15
1144,9017861,12,2
1145,9017862,4,5
1146,9017882,4,7
1147,9017908,9,8
1148,9017950,3,9
1149,9017987,4,3
1150,9017991,12,2
1151,9018010,13,8
1152,9018066,3,4
1153,9018085,6,0
1154,9018086,14,4
1155,9018087,13,8
1156,9018103,0,10
1157,9018120,11,5
1158,9018124,0,4
1159,9018139,15,4
1160,9018331,9,5
