HydroID,NextDownID,DrainID,COMID,Shape_Leng,Tot_Drain_,LENGTH_GEO,Musk_kfac,Musk_k,Musk_x,order_,Aera_km2,Shape_Le_1
9014693,9014572,11428,9014693,18992.076,272565029,18.9107051,68078.5384,23827.4884,0.3,1,277383.994,18992.076
9014716,9014581,11139,9014716,6314.72804,5711778856,6.28088846,22611.1985,7913.91946,0.3,3,277383.994,6314.72804
9014717,9014317,11432,9014717,21053.5776,128463383,20.923585,75324.9058,26363.717,0.3,1,277383.994,21053.5776
9014733,9014716,11140,9014733,656.441345,5332788999,0.6532918,2351.85046,823.147662,0.3,3,277383.994,656.441345
9014734,9014356,11429,9014734,31919.4249,315051915,31.7405298,114265.907,39993.0675,0.3,1,277383.994,31919.4249
9014762,9014797,11130,9014762,12770.297,221040859,12.7094934,45754.1762,16013.9617,0.3,1,277383.994,12770.297
9014787,9014527,11144,9014787,14576.0677,98913155.9,14.5060656,52221.8361,18277.6426,0.3,1,277383.994,14576.0677
9014797,9014798,11143,9014797,13956.6639,409492925,13.889415,50001.8941,17500.6629,0.3,2,277383.994,13956.6639
9014798,9014733,11145,9014798,9937.32289,5126807451,9.89404466,35618.5608,12466.4963,0.3,3,277383.994,9937.32289
9014888,9014716,11149,9014888,8944.31373,276708860,8.8923361,32012.4099,11204.3435,0.3,2,277383.994,8944.31373
9014890,9014399,11434,9014890,26081.5527,315111511,25.9351423,93366.5124,32678.2793,0.3,1,277383.994,26081.5527
9014892,9014888,11150,9014892,1128.25199,93800879.8,1.12428842,4047.43833,1416.60341,0.3,1,277383.994,1128.25199
9014914,9014637,11435,9014914,14630.4416,1.59E+10,14.5531592,52391.3731,18336.9806,0.3,4,277383.994,14630.4416
9014924,9014572,11436,9014924,35525.6919,216769806,35.3810074,127371.627,44580.0693,0.3,1,277383.994,35525.6919
9014928,9014949,11433,9014928,28556.5754,312014594,28.451646,102425.926,35849.074,0.3,1,277383.994,28556.5754
9014932,9014485,11438,9014932,23724.4865,967390556,23.596525,84947.49,29731.6215,0.3,2,277383.994,23724.4865
9014949,9014950,11437,9014949,1011.88165,403816382,1.00678824,3624.43766,1268.55318,0.3,2,277383.994,1011.88165
9014950,9014932,11439,9014950,11590.2276,639317796,11.5486407,41575.1066,14551.2873,0.3,2,277383.994,11590.2276
9014985,9014410,11152,9014985,35801.9799,924986331,35.6161708,128218.215,44876.3752,0.3,2,277383.994,35801.9799
9014991,9014503,11441,9014991,34312.2261,1178452780,34.1467632,122928.348,43024.9216,0.3,2,277383.994,34312.2261
9014995,9014991,11440,9014995,4320.14772,133550854,4.30146342,15485.2683,5419.84391,0.3,1,277383.994,4320.14772
9015003,9014949,11442,9015003,7642.17908,91181315.1,7.61370538,27409.3394,9593.26878,0.3,1,277383.994,7642.17908
9015016,9014985,11156,9015016,5601.46652,474997730,5.58159151,20093.7294,7032.8053,0.3,2,277383.994,5601.46652
9015017,9015016,11154,9015017,17067.7852,202974439,17.0095593,61234.4133,21432.0447,0.3,1,277383.994,17067.7852
9015023,9014797,11157,9015023,15874.4723,146274209,15.7897169,56842.9807,19895.0432,0.3,1,277383.994,15874.4723
9015027,9014733,11158,9015027,19186.8905,204473347,19.0939031,68738.0512,24058.3179,0.3,1,277383.994,19186.8905
9015065,9014798,11161,9015065,19339.765,4690580742,19.2381277,69257.2598,24240.0409,0.3,3,277383.994,19339.765
9015091,9014888,11164,9015091,12666.0212,167972910,12.5981581,45353.3692,15873.6792,0.3,1,277383.994,12666.0212
9015119,9014950,11444,9015119,14824.2569,166300489,14.756099,53121.9565,18592.6848,0.3,1,277383.994,14824.2569
9015125,9014932,11445,9015125,13110.3785,129013850,13.0399604,46943.8575,16430.3501,0.3,1,277383.994,13110.3785
9015163,9015224,11446,9015163,6668.04649,96715908.4,6.64771967,23931.7908,8376.12678,0.3,1,277383.994,6668.04649
9015168,9014914,11449,9015168,15866.7026,1.54E+10,15.7793319,56805.5949,19881.9582,0.3,4,277383.994,15866.7026
9015183,9014914,11454,9015183,47275.4914,382068609,47.0854777,169507.72,59327.7019,0.3,1,277383.994,47275.4914
9015202,9015224,11450,9015202,3014.96377,88482598.8,2.9968164,10788.539,3775.98866,0.3,1,277383.994,3014.96377
9015203,9015168,11452,9015203,3377.97197,1.49E+10,3.35985392,12095.4741,4233.41594,0.3,4,277383.994,3377.97197
